SampleID,Code,Site,Section,RealDepth_cm,SampleType, pMC,pMC_1sigma_error,ageBP,ageBP_1sigma_error
1,ERMSTANCADA1β35 ,ERMSTANCADA,1,35,plant,101.88,0.48,NA,NA
2,ERMSTANCADA1β44 (bulk) ,ERMSTANCADA,1,44,bulk,49.52,0.35,5646,57
3,ERMSTANCADA1β88 (bulk) ,ERMSTANCADA,1,88,bulk,69.23,0.26,2954,30
4,ERMSTANCADA2β28 (bulk) ,ERMSTANCADA,2,130,bulk,67.13,0.36,3201,43
5,ERMSTANCADA2β52 ,ERMSTANCADA,2,154,plant,85.92,0.26,1219,24
6,ERMSTANCADA2β74 ,ERMSTANCADA,2,176,plant,87.53,0.32,1070,29
7,ERMSTANCADA2β94 ,ERMSTANCADA,2,196,plant,87.2,0.29,1100,27
8,ERMSTANCADA2β136 (bulk) ,ERMSTANCADA,2,238,bulk,70.66,0.33,2790,38
9,LLANADA1α36 (bulk) ,LLANADA,1,36,bulk,100.3,0.35,NA,NA
10,LLANADA1α53 (bulk) ,LLANADA,1,53,bulk,49.28,0.3,5685,49
11,LLANADA1α73 (bulk) ,LLANADA,1,73,bulk,41.94,0.24,6980,46
12,LLANADA2α25 (bulk) ,LLANADA,2,113,bulk,22.7,0.14,11911,50
13,LLANADA2α49 (bulk) ,LLANADA,2,137,bulk,23.33,0.14,11691,48
14,LLANADA2α94 ,LLANADA,2,182,plant,82.74,0.27,1522,26
15,LLANADA2α134 (bulk) ,LLANADA,2,222,bulk,18.2,0.15,13686,66